,isotime,temp,pressure,humidity,solarpower
0,2017-11-08T21:30:06.289990,18.789679942949533,101526.03407584557,69.58308055662907,1081.344
0,2017-11-08T21:40:06.360682,18.7815706432797,101508.32119550543,70.38645786225455,1082.24
0,2017-11-08T21:50:06.408935,18.729795901966373,101463.18673082118,71.89384027636152,1057.92
0,2017-11-08T22:00:07.536748,18.63310821592204,101416.28026856142,72.59458623931013,938.496
0,2017-11-08T22:10:06.774267,18.63872233664015,101415.24224800548,73.25705292661593,1400.832
0,2017-11-08T22:20:06.881419,18.81525543155767,101412.0202228146,72.89231441355292,1070.08
0,2017-11-08T22:30:06.879208,18.954361271749168,101421.9777316157,72.54847654616282,1787.904
0,2017-11-08T22:40:06.480931,19.66236983739218,101393.786013195,70.60247361019817,2283.0080000000003
0,2017-11-08T22:50:06.517602,20.430269450333526,101387.87281873144,67.48694528152332,1353.344
0,2017-11-08T23:00:07.562611,20.50886882466666,101371.82371139097,66.23923777739039,1265.664
0,2017-11-08T23:10:06.347377,20.437755101921447,101383.20666741073,66.86670445380919,1351.68
0,2017-11-08T23:20:06.529977,20.2655852810728,101385.95333722727,68.26445562564841,1019.904
0,2017-11-08T23:30:06.368841,20.019807223995393,101379.3253658226,69.14396073825772,729.6
0,2017-11-08T23:40:06.230642,19.59375201078983,101369.4794551193,71.32078113119964,583.6800000000001
0,2017-11-08T23:50:07.094966,19.073505915563146,101360.8718430313,73.05496112878447,433.152
0,2017-11-09T00:00:07.750659,18.528935153871224,101355.08155545907,76.01428155374853,329.728
0,2017-11-09T00:10:06.523706,18.102887363824994,101334.84143899092,78.28668685670269,318.976
0,2017-11-09T00:20:06.229044,17.803469981253148,101321.54493125343,80.64129536318856,428.032
0,2017-11-09T17:50:06.567222,15.715686648251813,101812.9632205335,100,1155.0720000000001
0,2017-11-09T18:00:07.121994,16.22593194942101,101808.56750754826,100,1462.272
0,2017-11-09T18:10:07.007144,16.811033607144147,101815.73410470858,100,1831.424
0,2017-11-09T18:20:06.327554,17.393020355227417,101834.99921534446,100,1191.9360000000001
0,2017-11-09T18:30:07.178153,17.5090439100808,101835.11560693519,100,1081.344
0,2017-11-09T18:40:06.264414,17.844016023809036,101833.28143076994,100,2069.76
0,2017-11-09T18:50:07.090558,18.358016751957713,101828.09291206636,100,860.16
0,2017-11-09T19:00:08.958544,18.800284412908148,101810.33512630688,100,1700.992
0,2017-11-09T19:10:06.477157,18.639969919071973,101812.17564929937,100,535.04
0,2017-11-09T19:20:06.529935,18.05111303316671,101810.7162255169,99.1286082571251,1539.584
0,2017-11-09T19:30:06.539010,18.49213152753655,101804.9288226569,97.53430254762279,1831.424
0,2017-11-09T19:40:06.456640,20.16764825494356,101783.7794469305,88.41176917449945,3929.6000000000004
0,2017-11-09T19:50:06.387638,21.665410822274225,101770.72501838008,72.6430157234084,2128.896
0,2017-11-09T20:00:07.079421,21.608643833013776,101761.45947059215,73.56949591709125,4952.956
0,2017-11-09T20:10:06.618466,21.752120911528255,101755.63084656987,71.17001457883252,1316.096
0,2017-11-09T20:20:06.749652,21.0846426333781,101749.36954177503,70.31588670066725,1756.16
0,2017-11-09T20:30:06.592303,20.66918681993011,101743.46810036042,69.14556634545235,1894.144
0,2017-11-09T20:40:06.610234,20.83761460930109,101737.85024639119,70.9588699339913,3584.0
0,2017-11-09T20:50:06.585851,23.377795396751026,101709.29180850934,63.784426960873404,4332.22
0,2017-11-09T21:00:07.280017,26.554375113641434,101706.09922404207,52.85523023032777,17462.88
0,2017-11-09T21:10:07.076780,28.424694594936227,101692.00439771352,46.53516776203638,3038.0800000000004
0,2017-11-09T21:20:06.311927,26.418376158390675,101701.88235563558,51.400567779265714,9195.384
0,2017-11-09T21:30:06.223708,27.412171669527105,101692.98489989669,46.33570166259966,9419.592
0,2017-11-09T21:40:07.199544,28.842683522496372,101684.01138324854,44.15860565190835,4668.768
0,2017-11-09T21:50:07.229211,27.797715031147618,101675.26744529147,43.25186853857082,1600.0
0,2017-11-09T22:00:07.759505,24.616098486449573,101678.80029625239,52.18808182722705,988.416
0,2017-11-09T22:10:06.421302,22.55559699678306,101687.78054269249,56.64141133146003,887.0400000000001
0,2017-11-09T22:20:06.412726,21.234356934427343,101690.35841863678,57.55189906253799,658.9440000000001
0,2017-11-09T22:30:06.283466,20.497640338198927,101689.75602616787,62.07047951170955,577.024
0,2017-11-09T22:40:06.231439,20.013569211428056,101700.46232811137,63.02644559700417,715.008
0,2017-11-09T22:50:07.091740,19.665488830817868,101705.78191221063,62.5485244207369,689.9200000000001
0,2017-11-09T23:00:07.614521,19.462130697400518,101713.78226443056,63.33856907451713,777.7280000000001
0,2017-11-09T23:10:06.384986,19.31429088538898,101716.43155843801,63.652504301527394,539.392
0,2017-11-09T23:20:06.859391,19.101576667310383,101718.59865247254,65.39982033032854,514.304
0,2017-11-09T23:30:06.714237,18.78656098144711,101714.77290971117,66.88253331901036,702.464
0,2017-11-09T23:40:06.429819,18.632484424753876,101713.0790205995,68.77034388905835,765.1840000000001
0,2017-11-09T23:50:06.267340,18.557629517588886,101710.96043106342,68.91202672523399,652.288
0,2017-11-10T00:00:07.066435,18.36550222226515,101708.24284423434,69.65898200697977,583.552
0,2017-11-10T00:10:06.439317,18.064836346675385,101706.99597388894,72.93876178488519,583.552
0,2017-11-10T00:20:06.468114,17.7729045157198,101696.07233681256,74.08023288650169,446.976
0,2017-11-10T00:30:06.325168,17.45789372134641,101696.9924920892,74.81800738929391,322.81600000000003
0,2017-11-10T00:40:06.142731,17.00690008792744,101704.9387764432,77.24539722555502,173.824
0,2017-11-10T00:50:06.884533,16.422420865879758,101701.60663105386,80.27701379655825,124.16
0,2017-11-10T01:00:07.705684,15.900322738431077,101712.64870746399,82.11202907288828,12.288
0,2017-11-10T01:10:06.324210,15.602160601420564,101722.29574147334,82.74440934224054,12.288
0,2017-11-10T01:20:06.382258,15.118117168981644,101729.27198375278,84.09211990473777,0.0
0,2017-11-10T01:30:06.319492,14.645927954058061,101728.7009572682,85.90798712279565,0.0
0,2017-11-10T01:40:06.200425,14.202434248256122,101739.88442022208,88.43558358569754,0.0
0,2017-11-10T01:50:07.022576,13.802605746992413,101748.7594025726,89.80846822285176,0.0
0,2017-11-10T02:00:07.685335,13.50694593527005,101753.28907440107,91.50056565967168,0.0
0,2017-11-10T02:10:06.510321,13.281147357882947,101749.83343016538,93.54772595956634,0.0
0,2017-11-10T02:20:06.861043,13.1358132296461,101763.51955061604,95.05652033606022,0.0
0,2017-11-10T02:30:06.763788,13.035389362521528,101766.75674338966,95.65682660865478,0.0
0,2017-11-10T02:40:06.668119,12.933094364404678,101769.66659973984,96.840364833703,0.0
0,2017-11-10T02:50:06.539774,12.807097034826075,101774.51042689284,97.56786308272966,0.0
0,2017-11-10T03:00:07.188172,12.678604899725178,101784.11443013385,98.17109165286774,0.0
0,2017-11-10T03:10:06.756871,12.537014275310593,101784.4169041127,98.70670627802947,0.0
0,2017-11-10T03:20:06.789010,12.354256679210811,101788.92807883865,99.18446321405429,0.0
0,2017-11-10T03:30:06.810563,12.142183507561276,101791.50220443188,99.7779851888568,0.0
0,2017-11-10T03:40:06.632918,11.963169210060823,101797.27118114058,100,0.0
0,2017-11-10T03:50:06.540740,11.80785745750327,101799.80351596151,100,0.0
0,2017-11-10T04:00:07.127556,11.65566468834877,101804.13549935029,100,0.0
0,2017-11-10T04:10:07.020691,11.508462103620696,101811.52768778204,100,0.0
0,2017-11-10T04:20:07.094286,11.393070424038251,101824.49136035677,100,0.0
0,2017-11-10T04:30:06.908212,11.273312737378092,101841.91042340989,100,0.0
0,2017-11-10T04:40:06.884538,11.154178954999953,101849.71081351084,100,0.0
0,2017-11-10T04:50:06.784600,11.048143790851828,101858.0491580643,100,0.0
0,2017-11-10T05:00:07.424776,10.930881527060773,101851.60637011434,100,0.0
0,2017-11-10T05:10:06.952876,10.816738094869015,101841.76576660428,100,0.0
0,2017-11-10T05:20:06.948878,10.748751095604167,101848.62759020875,100,0.0
0,2017-11-10T05:30:07.013232,10.658309758305496,101864.05167385856,100,0.0
0,2017-11-10T05:40:06.838006,10.612777259160065,101869.45026810274,100,0.0
0,2017-11-10T05:50:06.731208,10.55539387009485,101876.43045350639,100,0.0
0,2017-11-10T06:00:07.252714,10.558512531554971,101876.6243515606,100,0.0
0,2017-11-10T06:10:06.804910,10.50175291077503,101876.91401726,100,0.0
0,2017-11-10T06:20:06.908023,10.445617059130745,101875.07013296214,100,0.0
0,2017-11-10T06:30:07.044467,10.380125278767173,101881.36487698647,100,0.0
0,2017-11-10T06:40:07.066244,10.301535208510268,101878.99877310451,100,0.0
0,2017-11-10T06:50:06.945672,10.234172348609082,101869.46285305553,100,0.0
0,2017-11-10T07:00:07.492600,10.198619749490172,101863.25768343749,100,0.0
0,2017-11-10T07:10:06.224994,10.197996019812944,101865.74417059487,100,0.0
0,2017-11-10T07:20:06.583892,10.179907861151515,101866.64578333394,100,0.0
0,2017-11-10T07:30:06.401950,10.134375616623675,101870.0936247772,100,0.0
0,2017-11-10T07:40:06.098207,10.083853565441677,101872.05389079568,100,0.0
0,2017-11-10T07:50:07.060709,10.043934928817908,101862.5216138134,100,0.0
0,2017-11-10T08:00:07.791532,9.99840275665856,101860.80122073907,100,0.0
0,2017-11-10T08:10:06.337239,9.936653685187048,101854.13771830335,100,0.0
0,2017-11-10T08:20:06.485375,9.940396051886273,101858.62541338446,100,0.0
0,2017-11-10T08:30:06.329179,9.853074204892982,101859.99124513859,100,0.0
0,2017-11-10T08:40:06.327415,9.764504993992158,101866.32281541298,100,0.0
0,2017-11-10T08:50:06.298433,9.685915489268154,101862.00503161774,100,0.0
0,2017-11-10T17:10:07.269973,13.891179138422013,101882.88725874072,100,875.52
0,2017-11-10T17:20:06.506682,14.44008670768235,101877.2286518008,100,1204.224
0,2017-11-10T17:30:06.389067,14.901670798497799,101863.52443674498,100,875.52
0,2017-11-10T17:40:06.226454,14.989621563112541,101870.52255824831,100,517.376
0,2017-11-10T17:50:06.219344,14.873601424566823,101864.74686605623,100,396.032
0,2017-11-10T18:20:06.859395,16.429282391750984,101857.99850551075,100,2170.112
0,2017-11-10T18:30:06.889988,18.190217631102133,101866.59367708841,94.04018159460584,2082.304
0,2017-11-10T18:40:06.854443,19.571919077501025,101857.66135508618,87.37237610372978,2141.568
0,2017-11-10T18:50:06.981274,20.523216337297345,101843.34175596444,79.89607666231078,2116.224
0,2017-11-10T19:00:08.932063,21.15887594157548,101843.35837587524,74.94674694443313,1427.8400000000001
0,2017-11-10T19:10:06.503850,21.198799764210797,101841.00915757888,74.87097573917904,663.552
0,2017-11-10T19:20:06.811156,20.37163186888365,101832.94794202503,75.07833071486185,700.416
0,2017-11-10T19:30:06.779175,19.694183575668376,101826.89357083797,78.0248859614095,1130.496
0,2017-11-10T19:40:06.648998,19.6498938648263,101804.53998509112,78.9963989570503,1130.496
0,2017-11-10T19:50:06.466428,19.77777266985804,101795.01598938621,78.0942173362237,522.88
0,2017-11-10T20:00:07.054092,19.039197231488743,101810.55571935275,79.86058291667696,1302.528
0,2017-11-10T20:10:06.607799,18.1571568765773,101781.68385968533,89.38462496539078,1266.432
0,2017-11-10T20:20:06.555741,17.926355738587244,101775.83478912596,93.61572279461944,1191.936
0,2017-11-10T20:30:06.445319,17.814074328989317,101772.46793800886,97.12628527016017,909.312
0,2017-11-10T20:40:06.412390,17.76105260345066,101766.36062570203,97.91090080448974,839.04
0,2017-11-10T20:50:06.314326,17.769785591279287,101760.28502126866,98.56805927692953,376.96
0,2017-11-10T21:00:07.029973,17.15411213294656,101766.35087435489,99.89707852729016,948.48
0,2017-11-10T21:10:06.862455,16.9226899218178,101758.36538771425,100,1986.56
0,2017-11-10T21:20:06.943248,17.375554457368345,101740.30933023625,100,1564.416
0,2017-11-10T21:30:06.910937,17.777894795061094,101751.46574941729,100,1576.832
0,2017-11-10T21:40:06.876394,18.14468112347249,101740.05336066733,100,1680.896
0,2017-11-10T21:50:06.936806,18.435990433110057,101742.0592041725,100,1919.232
0,2017-11-10T22:00:07.524854,18.815879224058243,101742.49734015565,100,3028.608
0,2017-11-10T22:10:06.115586,19.362323201363417,101736.10342601383,98.37104767991899,1693.44
0,2017-11-10T22:20:06.141429,19.328638197726196,101742.0358435,96.11857143972303,2268.288
0,2017-11-10T22:30:07.067255,19.403493779372457,101732.33743286501,94.91614128172915,589.8240000000001
0,2017-11-10T22:40:06.939372,18.785313396877974,101728.30082214592,94.27427068654805,1179.52
0,2017-11-10T22:50:06.741581,18.517083136882867,101738.66436620984,94.538108439945,1179.52
0,2017-11-10T23:00:07.743119,18.576343238241044,101742.4798342074,95.53352078629659,798.72
0,2017-11-10T23:10:06.763272,18.338055501005964,101749.20657024957,94.32106060194413,1056.768
0,2017-11-10T23:20:07.131283,18.339926868084877,101745.27345443629,96.41081549011564,675.84
0,2017-11-10T23:30:07.061604,18.200822026768673,101755.82590763239,97.32976681526924,933.888
0,2017-11-10T23:40:07.057323,18.32557972152581,101756.64420178169,98.33299960996479,921.6
0,2017-11-10T23:50:07.007377,18.336184133967983,101766.91397030912,98.10221269355866,724.992
0,2017-11-11T00:00:07.518963,18.213921576171195,101775.31141146245,97.50612134034867,872.448
0,2017-11-11T00:10:06.203614,18.127838859666372,101773.60385065048,97.44394651784178,243.2
0,2017-11-11T00:20:06.260860,17.436061333026828,101766.91450117643,97.90450729410985,145.92000000000002
0,2017-11-11T00:30:07.150218,16.585850086156277,101763.70280359972,99.4457652477992,96.256
0,2017-11-11T00:40:07.081305,15.853539907624144,101766.89435413775,100,60.16
0,2017-11-11T00:50:07.053662,15.26906856413343,101774.29952756026,100,36.096000000000004
0,2017-11-11T01:00:07.720677,14.76569036165056,101784.19378022656,100,11.904
0,2017-11-11T01:10:06.197867,14.367106748336028,101792.35958137098,100,11.648
0,2017-11-11T01:20:06.526229,14.02840570059052,101805.78268716311,100,0.0
0,2017-11-11T18:20:06.795296,13.753329040753396,102082.33945767937,100,680.96
0,2017-11-11T18:30:06.825115,14.609749759733678,102075.29053379106,100,1278.848
0,2017-11-11T18:40:06.744558,15.53604110509632,102062.87501778353,100,933.888
0,2017-11-11T18:50:06.728675,16.109286361666456,102043.04557105339,100,705.28
0,2017-11-11T19:00:08.563813,17.45851750395168,102033.63420216633,100,899.84
0,2017-11-11T19:10:06.434362,20.818276587008675,102016.22154687141,79.98712597226142,5446.644
0,2017-11-11T19:20:06.983370,22.51567254113943,101999.4793492345,68.03398151836282,12670.02
0,2017-11-11T19:30:06.928870,25.588662442937494,101979.67160122581,58.46959961826247,12970.496000000001
0,2017-11-11T19:40:07.001092,26.171956583602242,101966.60665470395,53.196474012396564,3629.568
0,2017-11-11T19:50:06.965060,24.655400086945157,101944.99656249657,54.64526162761168,1728.0
0,2017-11-11T20:00:07.829150,22.27300710985155,101938.96431420895,57.23710096776302,1900.8000000000002
0,2017-11-11T20:10:06.488987,20.959880915925897,101908.68189462903,59.442954360845064,2368.0
0,2017-11-11T20:20:06.449894,20.7496578334948,101895.25686837359,59.839665900401265,1984.0
0,2017-11-11T20:30:06.414364,20.48765946257563,101885.78182059783,61.81571652592167,2176.0
0,2017-11-11T20:40:06.222060,20.437755101921447,101884.5104302782,60.93847255418335,2585.6000000000004
0,2017-11-11T20:50:07.047195,20.902490586979546,101866.74186895465,57.95630453479861,3277.056
0,2017-11-11T21:00:07.672737,22.26053075666214,101872.04985604864,54.9586159949981,3368.4480000000003
